name,theme,product_code,ageRange,pieceCount,price,minifigureCount,buildHeight,buildWidth,buildDepth,url,date
Musik Armband,DOTS,41933,6+,33.0,6.99,,,,,/de-de/product/music-bracelet-41933,2023-02-28
Taschenanhänger Leopard,DOTS,41929,6+,84.0,6.99,,,,,/de-de/product/bag-tag-leopard-41929,2023-02-28
Taschenanhänger Drache,DOTS,41939,6+,82.0,6.99,,,,,/de-de/product/bag-tag-dragon-41939,2023-02-28
Taschenanhänger Einhorn,DOTS,41940,6+,80.0,6.99,,,,,/de-de/product/bag-tag-unicorn-41940,2023-02-28
Mein erster Bauspaß,DUPLO®,10909,1½+,80.0,19.99,,,,,/de-de/product/heart-box-10909,2023-02-28
LEGO® DUPLO® Steinebox,DUPLO®,10913,1½+,65.0,29.99,,,,,/de-de/product/brick-box-10913,2023-02-28
LEGO® DUPLO® Deluxe Steinebox,DUPLO®,10914,1½+,85.0,49.99,,,,,/de-de/product/deluxe-brick-box-10914,2023-02-28
ABC-Stadt,DUPLO®,10935,1½+,87.0,49.99,,,,,/de-de/product/alphabet-town-10935,2023-02-28
Baustelle mit Baufahrzeugen,DUPLO®,10990,2+,61.0,64.99,,,,,/de-de/product/construction-site-10990,2023-02-28
Dampfeisenbahn,DUPLO®,10874,2-5,59.0,64.99,,,,,/de-de/product/steam-train-10874,2023-02-28
Digi-Zug,DUPLO®,45025,2-5,234.0,304.99,,,,,/de-de/product/coding-express-45025,2023-02-28
Feuerwehrauto,DUPLO®,10969,2+,21.0,29.99,,,,,/de-de/product/fire-truck-10969,2023-02-28
Röhren,LEGO® Education,45026,3-6,150.0,174.99,,,,,/de-de/product/tubes-45026,2023-02-28
Zuhause auf Rädern,DUPLO®,10986,2+,31.0,19.99,,,,,/de-de/product/family-house-on-wheels-10986,2023-02-28
Güterzug,DUPLO®,10875,2-5,105.0,129.99,,,,,/de-de/product/cargo-train-10875,2023-02-28
Wilde Tiere der Welt,DUPLO®,10975,2+,141.0,129.99,,,,,/de-de/product/wild-animals-of-the-world-10975,2023-02-28
Lerne etwas über die chinesische Kultur,DUPLO®,10411,2+,124.0,79.99,,,,,/de-de/product/tbd-town-2023-china-10411,2023-02-28
Wilde Tiere Europas,DUPLO®,10979,2+,85.0,59.99,,,,,/de-de/product/wild-animals-of-europe-10979,2023-02-28
Biogarten,DUPLO®,10984,1½+,43.0,44.99,,,,,/de-de/product/organic-garden-10984,2023-02-28
Spider-Mans Haus,Spider-Man,10995,2+,25.0,24.99,,,,,/de-de/product/spider-mans-house-10995,2023-02-28
Erlebnispark,DUPLO®,10956,2+,95.0,129.99,,,,,/de-de/product/amusement-park-10956,2023-02-28
Obst- und Gemüse-Traktor,DUPLO®,10982,1½+,19.0,19.99,,,,,/de-de/product/fruit-and-vegetable-tractor-10982,2023-02-28
Wilde Tiere Südamerikas,DUPLO®,10973,2+,71.0,49.99,,,,,/de-de/product/wild-animals-of-south-america-10973,2023-02-28
LEGO® DUPLO® Bauplatte in Grün,DUPLO®,10980,1½+,1.0,14.99,,,,,/de-de/product/lego-duplo-green-building-plate-10980,2023-02-28
STEAM Park,LEGO® Education,45024,3-5,295.0,234.99,,,,,/de-de/product/steam-park-45024,2023-02-28
Polizeistation mit Hubschrauber,DUPLO®,10959,2+,40.0,49.99,,,,,/de-de/product/police-station--helicopter-10959,2023-02-28
Parkhaus mit Autowaschanlage,DUPLO®,10948,2+,112.0,99.99,,,,,/de-de/product/parking-garage-and-car-wash-10948,2023-02-28
Wachsende Karotte,DUPLO®,10981,1½+,11.0,9.99,,,,,/de-de/product/growing-carrot-10981,2023-02-28
